area_code,mosques,corroborated
E06000001,1,0
E06000002,10,2
E06000003,2,1
E06000004,5,3
E06000005,1,0
E06000007,1,0
E06000008,31,9
E06000009,1,1
E06000010,7,1
E06000012,1,0
E06000013,4,1
E06000014,2,0
E06000015,12,3
E06000016,59,18
E06000018,28,4
E06000020,3,1
E06000021,13,3
E06000022,1,0
E06000023,19,5
E06000025,1,0
E06000026,1,1
E06000027,1,0
E06000030,4,1
E06000031,10,3
E06000032,25,8
E06000033,3,1
E06000034,3,0
E06000035,4,2
E06000036,1,0
E06000037,1,0
E06000038,9,4
E06000039,9,3
E06000040,3,0
E06000041,4,1
E06000042,11,3
E06000043,5,1
E06000044,4,1
E06000045,9,4
E06000046,1,0
E06000047,1,0
E06000049,2,1
E06000050,5,2
E06000051,2,1
E06000054,2,1
E06000055,9,3
E06000056,1,0
E06000057,1,0
E06000058,5,2
E06000059,4,0
E06000060,13,5
E06000061,4,3
E06000062,9,3
E06000063,1,0
E06000064,4,0
E06000065,3,0
E06000066,4,2
E07000008,8,4
E07000009,1,1
E07000011,3,2
E07000034,2,1
E07000036,1,0
E07000040,1,0
E07000041,1,1
E07000061,1,1
E07000062,2,0
E07000063,1,0
E07000064,1,0
E07000065,2,0
E07000066,2,0
E07000067,2,0
E07000068,2,0
E07000070,3,0
E07000071,2,1
E07000072,3,0
E07000073,2,1
E07000074,1,1
E07000076,1,0
E07000078,2,1
E07000081,3,2
E07000082,1,0
E07000084,2,0
E07000085,2,0
E07000086,1,0
E07000092,2,0
E07000094,2,1
E07000096,2,0
E07000098,1,0
E07000099,2,0
E07000103,4,2
E07000105,1,0
E07000106,2,1
E07000107,1,1
E07000108,1,0
E07000109,2,1
E07000110,1,0
E07000111,1,1
E07000113,3,1
E07000114,1,0
E07000115,1,0
E07000117,5,0
E07000118,1,0
E07000120,6,2
E07000121,4,1
E07000122,12,2
E07000123,15,7
E07000125,3,0
E07000130,2,1
E07000132,3,1
E07000135,3,0
E07000136,2,1
E07000137,1,0
E07000138,3,2
E07000139,1,0
E07000141,2,1
E07000143,2,0
E07000145,1,0
E07000146,1,1
E07000148,7,2
E07000149,2,0
E07000171,2,0
E07000172,2,0
E07000174,2,0
E07000175,1,0
E07000177,3,1
E07000178,7,2
E07000179,2,0
E07000181,1,0
E07000192,1,0
E07000193,6,2
E07000194,1,0
E07000195,3,0
E07000197,1,0
E07000202,2,1
E07000208,1,0
E07000209,2,0
E07000210,1,1
E07000211,3,1
E07000212,2,0
E07000213,1,0
E07000214,2,1
E07000216,3,0
E07000217,4,1
E07000219,2,0
E07000220,2,1
E07000222,3,0
E07000224,1,0
E07000225,1,0
E07000226,4,0
E07000227,1,1
E07000228,2,2
E07000229,1,0
E07000236,3,1
E07000237,4,3
E07000239,2,1
E07000240,6,2
E07000241,2,0
E07000242,2,0
E07000243,1,1
E07000245,3,0
E08000001,30,15
E08000002,4,3
E08000003,44,14
E08000004,29,13
E08000005,12,6
E08000006,2,2
E08000007,4,1
E08000008,8,5
E08000009,8,1
E08000010,4,0
E08000011,1,0
E08000012,7,1
E08000013,1,0
E08000015,2,1
E08000016,1,1
E08000017,4,2
E08000018,13,2
E08000019,38,16
E08000021,9,4
E08000022,4,0
E08000023,3,1
E08000024,4,0
E08000025,123,39
E08000026,15,0
E08000027,7,5
E08000028,16,9
E08000029,5,1
E08000030,14,9
E08000031,7,3
E08000032,105,34
E08000033,12,2
E08000034,69,23
E08000035,32,9
E08000036,8,5
E08000037,2,0
E09000002,19,2
E09000003,7,2
E09000004,3,1
E09000005,22,5
E09000006,3,0
E09000007,11,4
E09000008,12,1
E09000009,14,7
E09000010,5,2
E09000011,5,1
E09000012,15,4
E09000013,5,2
E09000014,6,2
E09000015,7,1
E09000016,3,0
E09000017,13,2
E09000018,16,3
E09000019,9,3
E09000020,4,0
E09000021,3,1
E09000022,11,3
E09000023,4,1
E09000024,9,2
E09000025,46,7
E09000026,26,4
E09000028,12,3
E09000029,7,0
E09000030,44,19
E09000031,22,7
E09000032,8,4
E09000033,11,6
N09000002,2,0
N09000003,2,0
S12000005,1,0
S12000008,2,0
S12000011,2,0
S12000019,1,0
S12000020,2,0
S12000026,1,0
S12000029,1,0
S12000036,1,0
S12000040,2,0
S12000042,1,0
S12000047,3,0
S12000049,13,5
S12000050,3,2
W06000002,1,0
W06000004,4,1
W06000006,1,1
W06000008,3,0
W06000009,3,2
W06000011,6,1
W06000012,1,0
W06000013,1,0
W06000015,16,7
W06000016,1,1
W06000022,9,1
