area_code,n,approved,refused,withdrawn,pending,high_confidence,new_build,use_to,extension,use_away,demolition,admin,other,net_gain
E06000001,1,1,0,0,0,1,0,0,0,0,0,1,0,0
E06000002,5,3,2,0,0,5,3,1,1,0,0,0,0,3
E06000003,2,2,0,0,0,2,0,2,0,0,0,0,0,2
E06000004,5,4,0,1,0,5,2,2,1,0,0,0,0,4
E06000007,1,1,0,0,0,1,0,0,0,0,0,0,1,0
E06000008,61,45,9,7,0,47,8,16,19,2,1,6,9,15
E06000009,2,0,2,0,0,2,0,0,1,0,0,0,1,0
E06000010,1,1,0,0,0,1,0,0,1,0,0,0,0,0
E06000013,4,4,0,0,0,4,1,1,2,0,0,0,0,2
E06000014,3,1,1,1,0,2,0,1,2,0,0,0,0,0
E06000015,6,6,0,0,0,6,2,1,3,0,0,0,0,3
E06000016,13,10,3,0,0,8,1,3,5,0,0,0,4,2
E06000018,7,6,0,0,1,7,0,2,2,0,1,1,1,2
E06000020,4,2,0,0,2,4,1,0,0,0,0,2,1,1
E06000021,4,3,0,1,0,4,4,0,0,0,0,0,0,3
E06000023,9,7,0,1,1,9,1,2,5,0,0,0,1,3
E06000024,2,0,1,0,1,1,0,2,0,0,0,0,0,0
E06000025,1,0,0,1,0,0,1,0,0,0,0,0,0,0
E06000031,14,10,2,0,2,13,3,1,5,0,0,4,1,3
E06000032,31,25,3,2,1,27,5,7,5,1,1,10,2,6
E06000034,1,0,0,0,1,1,0,1,0,0,0,0,0,0
E06000036,3,2,0,1,0,0,0,3,0,0,0,0,0,2
E06000038,32,21,2,9,0,24,15,6,6,0,2,1,2,17
E06000039,10,8,0,2,0,6,3,5,2,0,0,0,0,6
E06000040,2,0,1,1,0,2,0,2,0,0,0,0,0,0
E06000041,6,5,1,0,0,5,0,4,0,0,0,1,1,3
E06000042,4,2,0,1,1,4,1,1,0,1,0,0,1,0
E06000043,1,1,0,0,0,1,0,0,1,0,0,0,0,0
E06000045,2,2,0,0,0,2,1,0,1,0,0,0,0,1
E06000049,1,1,0,0,0,1,0,1,0,0,0,0,0,1
E06000051,1,1,0,0,0,1,0,0,0,1,0,0,0,-1
E06000055,30,24,3,2,1,24,5,2,4,8,0,9,2,-2
E06000058,1,1,0,0,0,1,1,0,0,0,0,0,0,1
E06000059,1,1,0,0,0,1,1,0,0,0,0,0,0,1
E06000060,13,8,3,0,2,8,1,6,1,2,0,1,2,2
E06000061,2,1,1,0,0,2,0,1,0,0,0,0,1,0
E06000062,6,4,1,1,0,6,1,1,4,0,0,0,0,1
E06000065,1,1,0,0,0,1,0,0,1,0,0,0,0,0
E06000066,2,2,0,0,0,2,0,0,1,1,0,0,0,-1
E07000008,6,5,0,1,0,6,1,2,0,0,1,1,1,1
E07000011,7,4,2,1,0,1,0,1,2,0,0,1,3,1
E07000041,1,1,0,0,0,1,0,0,0,0,0,1,0,0
E07000061,4,4,0,0,0,3,2,0,1,0,0,1,0,2
E07000062,3,1,1,0,1,3,0,0,2,0,0,1,0,0
E07000068,1,1,0,0,0,1,0,0,0,0,0,0,1,0
E07000073,2,2,0,0,0,2,0,0,1,0,0,0,1,0
E07000074,3,2,1,0,0,3,2,0,1,0,0,0,0,2
E07000076,1,0,0,0,1,1,0,1,0,0,0,0,0,0
E07000081,4,2,0,2,0,4,2,0,0,0,2,0,0,0
E07000096,1,0,1,0,0,1,0,0,0,1,0,0,0,0
E07000099,3,2,0,0,1,3,0,2,1,0,0,0,0,1
E07000103,4,3,0,0,1,4,0,0,4,0,0,0,0,0
E07000109,2,1,1,0,0,2,0,0,2,0,0,0,0,0
E07000110,5,3,1,0,1,5,0,0,0,0,0,1,4,0
E07000113,6,4,1,1,0,1,0,4,0,0,0,0,2,2
E07000117,5,4,0,1,0,5,0,3,2,0,0,0,0,2
E07000118,2,2,0,0,0,2,0,0,0,1,0,1,0,-1
E07000120,6,4,2,0,0,5,1,1,3,0,0,0,1,2
E07000121,2,2,0,0,0,2,0,0,1,1,0,0,0,-1
E07000122,8,7,0,1,0,8,2,1,2,1,0,1,1,2
E07000123,33,23,7,1,2,33,7,9,7,4,3,3,0,7
E07000124,3,1,2,0,0,2,0,0,2,1,0,0,0,-1
E07000125,1,1,0,0,0,1,0,0,0,1,0,0,0,-1
E07000130,3,0,0,2,1,3,0,1,2,0,0,0,0,0
E07000132,2,2,0,0,0,1,0,1,0,0,0,0,1,1
E07000135,1,0,0,0,1,1,1,0,0,0,0,0,0,0
E07000138,5,3,1,1,0,5,2,0,1,0,2,0,0,0
E07000146,5,3,1,1,0,1,0,3,0,1,0,1,0,0
E07000148,4,4,0,0,0,4,1,0,0,0,0,0,3,1
E07000171,3,3,0,0,0,0,0,1,0,0,0,2,0,1
E07000176,1,0,1,0,0,1,0,0,1,0,0,0,0,0
E07000177,2,2,0,0,0,2,1,0,0,0,0,0,1,1
E07000178,2,2,0,0,0,1,1,0,0,0,0,0,1,1
E07000193,3,2,0,0,1,3,1,2,0,0,0,0,0,2
E07000194,1,1,0,0,0,0,0,0,0,0,0,0,1,0
E07000202,1,1,0,0,0,1,1,0,0,0,0,0,0,1
E07000211,3,2,1,0,0,2,0,0,2,1,0,0,0,0
E07000214,2,2,0,0,0,2,1,0,0,0,1,0,0,0
E07000216,2,1,1,0,0,2,1,0,1,0,0,0,0,1
E07000217,5,3,2,0,0,2,2,2,0,0,0,1,0,2
E07000228,1,1,0,0,0,1,0,0,1,0,0,0,0,0
E07000236,5,5,0,0,0,5,1,1,0,1,0,1,1,1
E07000237,5,5,0,0,0,5,1,1,1,0,0,2,0,2
E07000240,9,6,3,0,0,7,0,3,1,1,2,1,1,-2
E07000242,8,2,2,4,0,2,0,6,1,0,0,0,1,2
E08000001,21,17,0,3,1,18,7,5,2,1,0,3,3,11
E08000002,4,3,0,1,0,4,1,1,1,0,0,1,0,2
E08000003,55,46,5,4,0,54,16,5,26,0,0,6,2,15
E08000004,32,21,8,0,3,32,5,8,8,2,1,6,2,7
E08000005,26,22,2,2,0,25,4,3,14,1,0,1,3,5
E08000006,3,3,0,0,0,3,1,1,1,0,0,0,0,2
E08000007,14,10,1,3,0,14,3,2,0,0,0,6,3,1
E08000008,12,11,1,0,0,11,2,1,3,1,0,4,1,3
E08000009,9,5,2,2,0,5,0,4,2,1,0,2,0,0
E08000012,7,2,0,0,5,6,0,0,3,0,2,0,2,0
E08000015,1,1,0,0,0,1,0,1,0,0,0,0,0,1
E08000017,3,2,1,0,0,3,3,0,0,0,0,0,0,2
E08000019,34,29,2,1,2,34,11,0,16,1,0,1,5,9
E08000021,8,8,0,0,0,8,1,4,2,0,0,0,1,5
E08000022,3,2,1,0,0,0,0,3,0,0,0,0,0,2
E08000023,3,2,0,1,0,3,2,0,1,0,0,0,0,1
E08000024,2,0,1,0,1,2,0,1,0,0,1,0,0,0
E08000025,147,83,23,39,2,130,33,29,25,19,8,13,20,17
E08000026,5,3,1,1,0,4,0,4,1,0,0,0,0,2
E08000027,7,6,0,1,0,6,4,1,2,0,0,0,0,4
E08000028,30,22,6,0,2,26,5,9,4,0,4,1,7,10
E08000029,2,1,0,1,0,2,0,0,0,0,0,2,0,0
E08000030,26,21,3,1,1,24,4,10,3,3,4,1,1,7
E08000031,5,5,0,0,0,5,1,0,3,0,0,0,1,1
E08000032,107,86,12,7,2,99,18,25,30,5,1,12,16,29
E08000033,12,6,3,2,1,12,1,6,2,1,0,0,2,1
E08000034,53,37,9,3,4,53,12,7,11,6,1,11,5,9
E08000035,28,23,3,2,0,28,3,4,14,2,0,1,4,4
E08000036,18,14,1,2,1,18,2,5,10,0,0,1,0,4
E08000037,5,4,0,1,0,4,0,5,0,0,0,0,0,4
E09000002,8,7,1,0,0,8,0,0,4,0,0,3,1,0
E09000003,1,1,0,0,0,1,0,1,0,0,0,0,0,1
E09000005,32,20,5,6,1,17,6,5,7,1,2,4,7,1
E09000007,5,5,0,0,0,4,1,1,1,0,0,0,2,2
E09000008,7,3,3,1,0,7,2,0,0,0,0,3,2,1
E09000009,49,37,6,6,0,42,11,0,23,3,0,9,3,6
E09000010,4,2,1,1,0,4,0,2,0,1,0,0,1,1
E09000012,6,3,2,1,0,6,2,0,3,0,0,0,1,1
E09000013,1,0,1,0,0,0,0,0,0,1,0,0,0,0
E09000014,8,4,1,2,1,6,2,0,4,0,0,0,2,1
E09000015,11,9,0,1,1,8,0,0,0,5,0,2,4,-5
E09000016,4,3,0,0,1,3,1,0,2,0,0,0,1,0
E09000018,11,8,3,0,0,10,1,1,8,0,0,0,1,1
E09000019,1,1,0,0,0,1,0,0,1,0,0,0,0,0
E09000020,1,0,0,1,0,0,1,0,0,0,0,0,0,0
E09000021,1,1,0,0,0,1,0,0,1,0,0,0,0,0
E09000022,14,10,2,2,0,6,3,0,0,1,0,9,1,1
E09000023,2,0,1,1,0,0,0,1,0,0,0,1,0,0
E09000024,24,19,1,4,0,24,7,1,0,0,0,15,1,7
E09000025,27,12,5,2,8,25,7,4,3,2,2,2,7,2
E09000026,34,21,10,3,0,21,8,9,11,2,1,1,2,9
E09000028,26,13,4,7,2,17,12,2,12,0,0,0,0,8
E09000030,91,86,2,1,2,85,32,4,16,4,9,12,14,21
E09000031,9,7,1,1,0,8,3,2,1,1,0,1,1,4
E09000032,10,5,2,3,0,10,7,0,0,1,0,0,2,4
E09000033,15,11,2,0,2,12,7,0,6,0,1,0,1,4
N09000002,1,1,0,0,0,1,1,0,0,0,0,0,0,1
S12000005,2,2,0,0,0,2,0,1,1,0,0,0,0,1
S12000008,1,1,0,0,0,0,0,1,0,0,0,0,0,1
S12000013,2,2,0,0,0,2,0,0,2,0,0,0,0,0
S12000017,1,1,0,0,0,1,0,0,0,0,0,0,1,0
S12000020,6,3,0,3,0,6,0,5,0,0,0,0,1,3
S12000029,1,1,0,0,0,1,0,0,1,0,0,0,0,0
S12000033,3,3,0,0,0,3,0,0,1,1,1,0,0,-2
S12000036,6,4,2,0,0,5,1,1,3,0,0,0,1,1
S12000038,1,1,0,0,0,1,0,0,1,0,0,0,0,0
S12000040,5,3,0,0,2,5,0,1,2,2,0,0,0,1
S12000042,3,2,1,0,0,3,1,0,0,1,0,0,1,1
S12000047,7,4,1,2,0,7,3,2,2,0,0,0,0,4
S12000048,1,0,0,1,0,1,0,0,0,0,0,1,0,0
S12000049,20,15,1,2,2,20,1,0,16,0,0,0,3,0
S12000050,6,5,0,0,1,6,0,1,4,0,0,0,1,1
