area_code,area_name,source_tier,n_muslim,n_christian,n_jewish,n_hindu,n_sikh,n_buddhist,n_total
E06000001,Hartlepool,osm,1,30,0,0,0,0,31
E06000002,Middlesbrough,osm,8,48,0,0,1,0,57
E06000003,Redcar and Cleveland,osm,2,53,0,0,0,0,55
E06000004,Stockton-on-Tees,osm,4,70,0,0,2,0,76
E06000005,Darlington,osm,1,50,1,0,1,1,54
E06000006,Halton,osm,0,53,0,0,0,1,54
E06000007,Warrington,osm,1,84,0,0,1,0,86
E06000008,Blackburn with Darwen,osm,17,57,0,0,0,0,74
E06000009,Blackpool,osm,1,46,1,0,0,0,48
E06000010,"Kingston upon Hull, City of",osm,5,78,1,0,1,0,85
E06000011,East Riding of Yorkshire,osm,0,288,2,0,0,1,291
E06000012,North East Lincolnshire,osm,1,61,0,0,0,0,62
E06000013,North Lincolnshire,osm,0,97,1,1,1,1,101
E06000014,York,osm,0,108,0,0,0,1,109
E06000015,Derby,osm,8,109,0,2,5,0,124
E06000016,Leicester,osm,67,118,2,16,8,1,212
E06000017,Rutland,osm,0,62,0,0,0,0,62
E06000018,Nottingham,osm,30,142,3,4,7,1,187
E06000019,"Herefordshire, County of",osm,0,296,0,0,0,1,297
E06000020,Telford and Wrekin,osm,2,73,0,0,3,0,78
E06000021,Stoke-on-Trent,osm,7,103,0,1,1,0,112
E06000022,Bath and North East Somerset,osm,1,152,0,1,0,0,154
E06000023,"Bristol, City of",osm,13,214,2,1,4,4,238
E06000024,North Somerset,osm,0,120,0,0,0,0,120
E06000025,South Gloucestershire,osm,1,156,0,0,0,0,157
E06000026,Plymouth,osm,1,85,1,0,0,1,88
E06000027,Torbay,osm,0,52,0,0,0,0,52
E06000030,Swindon,osm,4,83,0,0,2,0,89
E06000031,Peterborough,osm,8,77,0,0,1,1,87
E06000032,Luton,osm,26,82,1,2,2,0,113
E06000033,Southend-on-Sea,osm,3,66,3,0,0,0,72
E06000034,Thurrock,osm,2,54,0,0,0,0,56
E06000035,Medway,osm,4,91,1,1,3,0,100
E06000036,Bracknell Forest,osm,0,32,0,0,0,0,32
E06000037,West Berkshire,osm,1,110,0,0,0,0,111
E06000038,Reading,osm,9,75,2,1,1,2,90
E06000039,Slough,osm,4,35,0,1,4,0,44
E06000040,Windsor and Maidenhead,osm,2,84,1,0,1,0,88
E06000041,Wokingham,osm,1,50,0,0,1,0,52
E06000042,Milton Keynes,osm,5,101,0,1,3,2,112
E06000043,Brighton and Hove,osm,5,106,5,1,0,1,118
E06000044,Portsmouth,osm,4,67,1,0,0,0,72
E06000045,Southampton,osm,9,96,1,1,2,0,109
E06000046,Isle of Wight,osm,1,119,0,0,0,0,120
E06000047,County Durham,osm,1,344,0,0,0,0,345
E06000049,Cheshire East,osm,1,224,0,0,0,0,225
E06000050,Cheshire West and Chester,osm,3,199,0,0,0,1,203
E06000051,Shropshire,osm,2,390,0,0,0,0,392
E06000052,Cornwall,osm,0,544,0,0,0,0,544
E06000053,Isles of Scilly,osm,0,9,0,0,0,0,9
E06000054,Wiltshire,osm,2,470,0,0,0,2,474
E06000055,Bedford,osm,9,128,0,2,4,0,143
E06000056,Central Bedfordshire,osm,1,181,0,0,0,0,182
E06000057,Northumberland,osm,0,265,0,0,0,1,266
E06000058,"Bournemouth, Christchurch and Poole",osm,3,158,2,0,0,0,163
E06000059,Dorset,osm,1,407,0,0,0,0,408
E06000060,Buckinghamshire,osm,11,347,0,2,1,5,366
E06000061,North Northamptonshire,osm,4,259,0,2,1,0,266
E06000062,West Northamptonshire,osm,5,305,1,1,3,2,317
E06000063,Cumberland,osm,0,272,0,0,0,1,273
E06000064,Westmorland and Furness,osm,1,297,0,0,0,1,299
E06000065,North Yorkshire,osm,3,787,1,0,0,2,793
E06000066,Somerset,osm,3,585,0,0,0,0,588
E07000008,Cambridge,osm,7,94,2,0,1,1,105
E07000009,East Cambridgeshire,osm,1,78,0,0,0,0,79
E07000010,Fenland,osm,0,56,0,0,0,0,56
E07000011,Huntingdonshire,osm,3,136,0,0,0,0,139
E07000012,South Cambridgeshire,osm,0,151,0,0,0,0,151
E07000032,Amber Valley,osm,0,88,0,0,0,0,88
E07000033,Bolsover,osm,0,35,0,0,0,0,35
E07000034,Chesterfield,osm,1,41,0,0,0,0,42
E07000035,Derbyshire Dales,osm,0,132,0,0,0,0,132
E07000036,Erewash,osm,1,56,0,0,0,0,57
E07000037,High Peak,osm,0,70,0,0,0,0,70
E07000038,North East Derbyshire,osm,0,64,0,0,0,0,64
E07000039,South Derbyshire,osm,0,74,0,0,0,2,76
E07000040,East Devon,osm,0,142,0,0,0,0,142
E07000041,Exeter,osm,1,66,1,0,0,1,69
E07000042,Mid Devon,osm,0,126,0,0,0,0,126
E07000043,North Devon,osm,0,129,0,0,0,0,129
E07000044,South Hams,osm,0,106,0,0,0,1,107
E07000045,Teignbridge,osm,0,114,0,0,0,0,114
E07000046,Torridge,osm,0,95,0,0,0,0,95
E07000047,West Devon,osm,0,93,0,0,0,0,93
E07000061,Eastbourne,osm,1,31,0,0,0,0,32
E07000062,Hastings,osm,1,39,0,0,0,0,40
E07000063,Lewes,osm,1,65,0,0,0,0,66
E07000064,Rother,osm,1,76,0,0,0,1,78
E07000065,Wealden,osm,1,118,0,0,0,0,119
E07000066,Basildon,osm,1,53,0,1,0,0,55
E07000067,Braintree,osm,1,108,0,0,0,0,109
E07000068,Brentwood,osm,1,55,0,0,0,0,56
E07000069,Castle Point,osm,0,14,0,0,0,0,14
E07000070,Chelmsford,osm,3,97,0,0,0,0,100
E07000071,Colchester,osm,2,103,0,0,0,1,106
E07000072,Epping Forest,osm,2,72,3,1,0,1,79
E07000073,Harlow,osm,0,29,1,0,0,0,30
E07000074,Maldon,osm,1,53,0,0,0,0,54
E07000075,Rochford,osm,0,32,0,0,0,0,32
E07000076,Tendring,osm,1,81,0,0,0,0,82
E07000077,Uttlesford,osm,0,93,0,0,0,1,94
E07000078,Cheltenham,osm,2,56,1,0,0,1,60
E07000079,Cotswold,osm,0,159,0,0,0,0,159
E07000080,Forest of Dean,osm,0,84,0,0,0,0,84
E07000081,Gloucester,osm,3,58,0,0,0,0,61
E07000082,Stroud,osm,0,126,0,0,0,0,126
E07000083,Tewkesbury,osm,0,74,0,0,0,0,74
E07000084,Basingstoke and Deane,osm,1,107,0,0,0,0,108
E07000085,East Hampshire,osm,0,87,0,0,0,0,87
E07000086,Eastleigh,osm,0,47,0,0,0,0,47
E07000087,Fareham,osm,0,26,0,0,0,0,26
E07000088,Gosport,osm,0,24,0,0,0,0,24
E07000089,Hart,osm,0,43,0,0,0,0,43
E07000090,Havant,osm,0,40,0,0,0,0,40
E07000091,New Forest,osm,0,109,0,0,0,0,109
E07000092,Rushmoor,osm,1,33,0,1,0,1,36
E07000093,Test Valley,osm,0,92,0,0,0,0,92
E07000094,Winchester,osm,2,111,0,0,0,0,113
E07000095,Broxbourne,osm,0,22,0,0,0,0,22
E07000096,Dacorum,osm,1,71,0,0,0,2,74
E07000098,Hertsmere,osm,1,32,7,1,0,0,41
E07000099,North Hertfordshire,osm,1,84,1,0,5,1,92
E07000102,Three Rivers,osm,0,25,0,0,0,0,25
