area_code,area_name,census_year,population,respondents,not_answered,nonresponse_pct,count,share_all_pct,share_resp_pct,per_10k_resp,rate_suppressed
N09000001,Antrim and Newtownabbey,2021,145662,143633,2029,1.39,666,0.46,0.46,46,
N09000002,"Armagh City, Banbridge and Craigavon",2021,218656,215568,3088,1.41,967,0.44,0.45,45,
N09000003,Belfast,2021,345418,337939,7479,2.17,5487,1.59,1.62,162,
N09000004,Causeway Coast and Glens,2021,141745,139742,2003,1.41,241,0.17,0.17,17,
N09000005,Derry City and Strabane,2021,150757,148572,2185,1.45,443,0.29,0.3,30,
N09000006,Fermanagh and Omagh,2021,116811,114606,2205,1.89,332,0.28,0.29,29,
N09000007,Lisburn and Castlereagh,2021,149106,146967,2139,1.43,959,0.64,0.65,65,
N09000008,Mid and East Antrim,2021,138995,136293,2702,1.94,294,0.21,0.22,22,
N09000009,Mid Ulster,2021,150293,148333,1960,1.3,372,0.25,0.25,25,
N09000010,"Newry, Mourne and Down",2021,182074,179669,2405,1.32,457,0.25,0.25,25,
N09000011,Ards and North Down,2021,163660,161326,2334,1.43,653,0.4,0.4,40,
S12000005,Clackmannanshire,2022,51778,48959,2819,5.44,626,1.21,1.28,128,
S12000006,Dumfries and Galloway,2022,145895,137014,8881,6.09,595,0.41,0.43,43,
S12000008,East Ayrshire,2022,120324,113663,6661,5.54,709,0.59,0.62,62,
S12000010,East Lothian,2022,112284,105906,6378,5.68,848,0.76,0.8,80,
S12000011,East Renfrewshire,2022,96817,90153,6664,6.88,5290,5.46,5.87,587,
S12000013,Na h-Eileanan Siar,2022,26140,24795,1345,5.15,58,0.22,0.23,23,
S12000014,Falkirk,2022,158404,149896,8508,5.37,2054,1.3,1.37,137,
S12000017,Highland,2022,235351,219852,15499,6.59,1131,0.48,0.51,51,
S12000018,Inverclyde,2022,78426,73895,4531,5.78,501,0.64,0.68,68,
S12000019,Midlothian,2022,96527,91364,5163,5.35,1163,1.2,1.27,127,
S12000020,Moray,2022,93293,87707,5586,5.99,294,0.32,0.34,34,
S12000021,North Ayrshire,2022,133413,125366,8047,6.03,594,0.45,0.47,47,
S12000023,Orkney Islands,2022,21958,20712,1246,5.67,36,0.16,0.17,17,
S12000026,Scottish Borders,2022,116821,108946,7875,6.74,363,0.31,0.33,33,
S12000027,Shetland Islands,2022,22986,21767,1219,5.3,42,0.18,0.19,19,
S12000028,South Ayrshire,2022,111519,104545,6974,6.25,434,0.39,0.42,42,
S12000029,South Lanarkshire,2022,327056,307643,19413,5.94,4724,1.44,1.54,154,
S12000030,Stirling,2022,92604,86904,5700,6.16,945,1.02,1.09,109,
S12000033,Aberdeen City,2022,224021,210981,13040,5.82,6465,2.89,3.06,306,
S12000034,Aberdeenshire,2022,263723,248318,15405,5.84,1172,0.44,0.47,47,
S12000035,Argyll and Bute,2022,85970,79921,6049,7.04,324,0.38,0.41,41,
S12000036,City of Edinburgh,2022,514543,480482,34061,6.62,18034,3.5,3.75,375,
S12000038,Renfrewshire,2022,183874,173000,10874,5.91,2600,1.41,1.5,150,
S12000039,West Dunbartonshire,2022,88399,83043,5356,6.06,685,0.77,0.82,82,
S12000040,West Lothian,2022,181278,171398,9880,5.45,2907,1.6,1.7,170,
S12000041,Angus,2022,114342,108058,6284,5.5,550,0.48,0.51,51,
S12000042,Dundee City,2022,148697,139796,8901,5.99,6232,4.19,4.46,446,
S12000045,East Dunbartonshire,2022,108937,101780,7157,6.57,1441,1.32,1.42,142,
S12000047,Fife,2022,371781,349908,21873,5.88,3813,1.03,1.09,109,
S12000048,Perth and Kinross,2022,150953,141096,9857,6.53,956,0.63,0.68,68,
S12000049,Glasgow City,2022,620756,576680,44076,7.1,48766,7.86,8.46,846,
S12000050,North Lanarkshire,2022,340973,321430,19543,5.73,5526,1.62,1.72,172,
