area_code,area_name,faith_category,population,not_answered,respondents,nonresponse_pct,count,share_all_pct,share_resp_pct,per_10k_resp,population_2011,count_2011,share_resp_2011_pct,change_pp,change_rel_pct,rate_suppressed
E06000001,Hartlepool,Muslim,92338,4755,87583,5.15,1213,1.314,1.385,138.5,92028,689,0.8,0.585,76.1,
E06000002,Middlesbrough,Muslim,143924,7683,136241,5.338,14703,10.216,10.792,1079.2,138412,9757,7.512,3.28,50.7,
E06000003,Redcar and Cleveland,Muslim,136529,7248,129281,5.309,984,0.721,0.761,76.1,135177,598,0.473,0.288,64.5,
E06000004,Stockton-on-Tees,Muslim,196595,9924,186671,5.048,6675,3.395,3.576,357.6,191610,4143,2.302,1.274,61.1,
E06000005,Darlington,Muslim,107799,5296,102503,4.913,1849,1.715,1.804,180.4,105564,971,0.982,0.822,90.4,
E06000006,Halton,Muslim,128478,5946,122532,4.628,805,0.627,0.657,65.7,125746,267,0.224,0.433,201.5,
E06000007,Warrington,Muslim,210974,11034,199940,5.23,3686,1.747,1.844,184.4,202228,2097,1.101,0.743,75.8,
E06000008,Blackburn with Darwen,Muslim,154739,7711,147028,4.983,54146,34.992,36.827,3682.7,147489,39817,28.608,8.219,36.0,
E06000009,Blackpool,Muslim,141036,7468,133568,5.295,2004,1.421,1.5,150.0,142065,1061,0.798,0.702,88.9,
E06000010,"Kingston upon Hull, City of",Muslim,267016,16957,250059,6.351,9285,3.477,3.713,371.3,256406,5447,2.289,1.424,70.5,
E06000011,East Riding of Yorkshire,Muslim,342216,20560,321656,6.008,1966,0.574,0.611,61.1,334179,1309,0.423,0.188,50.2,
E06000012,North East Lincolnshire,Muslim,156968,9218,147750,5.873,1922,1.224,1.301,130.1,159616,1332,0.899,0.402,44.3,
E06000013,North Lincolnshire,Muslim,169680,9390,160290,5.534,4201,2.476,2.621,262.1,167446,3024,1.944,0.677,38.9,
E06000014,York,Muslim,202820,13930,188890,6.868,2488,1.227,1.317,131.7,198051,2072,1.134,0.183,20.1,
E06000015,Derby,Muslim,261364,16517,244847,6.32,29137,11.148,11.9,1190.0,248752,19006,8.199,3.701,53.3,
E06000016,Leicester,Muslim,368574,20509,348065,5.564,86443,23.453,24.835,2483.5,329839,61440,19.724,5.111,40.7,
E06000017,Rutland,Muslim,41052,2231,38821,5.435,258,0.628,0.665,66.5,37369,131,0.377,0.288,96.9,
E06000018,Nottingham,Muslim,323630,24099,299531,7.446,39540,12.218,13.201,1320.1,305680,26919,9.529,3.672,46.9,
E06000019,"Herefordshire, County of",Muslim,187034,12962,174072,6.93,790,0.422,0.454,45.4,183477,364,0.216,0.238,117.0,
E06000020,Telford and Wrekin,Muslim,185542,10448,175094,5.631,5043,2.718,2.88,288.0,166641,3019,1.939,0.941,67.0,
E06000021,Stoke-on-Trent,Muslim,258369,14710,243659,5.693,23790,9.208,9.764,976.4,249008,14993,6.433,3.331,58.7,
E06000022,Bath and North East Somerset,Muslim,193414,13930,179484,7.202,1909,0.987,1.064,106.4,176016,1179,0.732,0.332,61.9,
E06000023,"Bristol, City of",Muslim,472465,32423,440042,6.863,31776,6.726,7.221,722.1,428234,22016,5.596,1.625,44.3,
